,
,
,
,ملف البيانات الوصفية Metadata
,
,
Indicator ,
Indicator deffinition ,UAE General Education Student Data
Dataset Name_EN,Grade 12 graduate Students statistics based on nationality
Dataset Name_AR,إحصائيات الطلبة الخريجين من الصف 12 حسب جنسياتهم
Description_EN,General Education Grade 12 graduate Students   based on academic year and nationality
Description_AR,أعداد الطلبة الخريجين من الصف الثاني عشر حسب العام الأكاديمي والجنسية
Source (URL of origional source) ,https://moe.gov.ae/Ar/OpenData/Pages/Home.aspx
Data Owner_EN,Ministry of Education
Data  Owener_AR,وزارة التربية والتعليم
Owner_Tel,80051115
last Update Date,28/11/2023
Calculation Methodology ,
Language,English/Arabic 
Keyterms/ tags,
Notes,
